"anio","numero","enunciado","opcion1","opcion2","opcion3","opcion4","opcion5","correcta"
"2000","19","Cu dl de los siguientes microorganismos NO se corresponde con el proceso infeccioso que se le asigna?:","Bordetella pertussis - Tosferina.","Borrelia burgdorferi - Enfermedad de Lyme.","Virus de Epstein-Barr - Mononucleosis infecciosa.","Coxiella burnettii - Fiebre botonosa. 5.Chlamydia trachomatis - Linfogranuloma venéreo.","","4"
"2000","20","En un cultivo de orina recogida de la porción media de la micción ¿a partir de qué cifra se considera infección urinaria (bacteriuria significativa)?:","Hemocultivo.","Urocultivo.","Coprocultivo.","S Serlogia. 5.Microscopia. 1.100 colonias/ml de orina. 2.1.000 colonias/ml de orina. 3.10.000 colonias/ml de orina. 4.100.000 colonias/ml de orina. 5.1.000.000 colonias/ml de orina","","4"
"2000","21","La mononucleosis infecciosa está causada por:","Virus de Epstein-Barr.","Citomegalovirus.","Virus de la rubéola.","Streptococcus pyogenes. 5.Virus herpes simple tipo1.","","1"
"2000","22","Para la detección microscópica de micobacterias, ¿qué tinción usaría?:","Gram.","Metenamina de plata.","Ziehl-Neelsen.","Blanco calcoflúor. 5.Giemsa.","","3"
"2000","23","¿A cuál de los siguientes enteropatógenos se asocia el síndrome urémico hemolítico?:","Escherichia coli enterohemorrágico.","Escherichia coli enteroagregativo.","Escherichia coli enteroinvasivo.","Escherichia coli enteropatógeno. 5.Yersinia enterocolítica.","","1"
"2000","24","En cepas de Escherichia coli causantes de infección urinaria una de las siguientes características NO se considera factor de virulencia. ¿Cuál?:","Producción de hemolisina.","Producción de aerobactina.","Resistencia a la acción bactericida del suero humano.","Expresión de fimbrias P. 5. Producción de toxina termoestable.","","5"
"2000","25","i Cu dl es la vía de transmisión de Neisseria meningitidis?:","Respiratoria.","Digestiva.","Sexual.","Cutánea. 5.Por vectores.","","1"
"2000","26","Cual de los siguientes virus NO es de transmisión por vía parenteral?:","Aerobias.","Microaerófilas.","Anaerobias facultativas.","Anaerobias estrictas. 5.Microanaeróbicas.","","1"
"2000","28","En un cultivo de líquido cefalorraquídeo se aísla un microorganismo que crece en agar chocolate y no en agar sangre; ¿de qué microorganismo se trata?:","Streptococcus pneumoniae.","Haemophilus influenzae.","Staphylococcus aureus.","Escherichia coli. 5.Pseudomonas aeruginosa. 1.Acidos teicurónicos. 2.N-acetilmurámico. 3.N-acetil-glucosamina. 4.Acidos teicoicos. 5.Acido lipoteicoico.","","2"
"2000","30","La función de las porinas de la membrana externa es:","Estructural.","Energética.","Entrada de nutrientes.","Quimiotaxis. 5.Exocitosis.","","3"
"2000","31","¿A qué nivel actúa el antibiótico rifampicina o rifamicina?:","Inhibe la actividad carboxipeptidasa de las proteínas de unión de penicilina.","Inhibe la actividad transpeptidasa de las proteínas de unión de penicilina.","Inhibe la RNA polimerasa dependiente del DNA.","Se liga a la membrana plasmática alterando su estructura. 5.Interfiere en la replicación del DNA.","","3"
"2000","32","¿A qué molécula de la pared celular se une la cadena peptídica del glicopéptido de una bacteria Gram positiva?:","Virus del sarampión.","Virus de la rubéola.","Virus de las paperas.","Virus del herpes simple. 5.Virus de la gripe.","","2"
"2000","33","En la formación de cepas bacterianas lisógenas, la integración del DNA fágico se realiza por un proceso de:","Recombinación específica de sitio.","Recombinación general.","Recombinación ilegítima.","Recombinación replicativa. 5.Recombinación ilegítima RecA dependiente.","","1"
"2000","34","iLa falta de cuál de las siguientes enzimas es responsable de la toxicidad del oxígeno en las bacterias anaerobias obligadas?:","Peroxidasa.","Catalasa.","Superóxido dismutasa.","Citocromo c oxidasa. 5.Citocromo a3.","","3"
"2000","35","La infección por Schistosoma spp se produce como consecuencia de:","La ingestión de frutos contaminados con huevos embrionados.","La penetración de cercarias a través de la piel.","La penetración de larvas de tercer estado (L3) a través de la piel.","La ingestión de carnes poco cocinadas infestadas por cercarias. 5.La ingestión de hígados parasitados por los adultos.","","2"
"2000","36","En la leishmaniosis visceral de la cuenca mediterránea, el perro se comporta como:","Vector.","Transmisor mecánico.","Reservorio.","Hospedador paraténico. 5.Hospedador definitivo.","","3"
"2000","38","En el ciclo biológico de Toxoplasma gondii el nombre actúa como:","Hospedador intermediario.","Hospedador definitivo.","Hospedador reservorio.","Hospedador paraténico. 5.Vector.","","1"
"2000","39","Los agentes transmisores del paludismo:","Carecen de fase de pupa.","Poseen una fase acuática durante su ciclo vital.","Viven en los huecos de las paredes.","Pertenecen al género Aedes. 5.Pertenecen al género Ixodes.","","2"
"2000","40","i Cu dl de las siguientes afirmaciones es la correcta?:","Un trastorno autoinmune.","Un exceso de producción de IgE3.Un déficit de producción de IgA. 4.Una deficiencia del sistema fagocítico. 5.Un proceso alérgico.","Las cercarias de Schistosoma mansoni se desarrollan en el intestino del hombre.","Una deficiencia del sistema fagocítico. 5.Un proceso alérgico.","","1"
"2000","41","De las siguientes especies del género Trichinella ¿cuál es propia del ciclo silvestre tropical africano?:","Trichinella spiralis.","Trichinella nativa.","Trichinella britovi.","Trichinella nelsoni. 5.Trichinella pseudospiralis.","","4"
"2000","42","i Cu dl de las siguientes especies es considerada como un oportunista, en particular asociado al SIDA?:","Echinococcus granulosus.","Multiceps multiceps (Taenia multiceps).","Taenia asiatica.","Taenia solium. 5.Dipylidium caninum. 1.Trichuris trichiura. 2.Echinococcus granulosus. 3.Enterozytozzon bieneusi. 4.Fasciola hepatica. 5. Anisakis simplex.","","3"
"2000","43","i C u4 l e3 de estas células son las típicas células cooperadoras en la activación y diferenciación de linfocitos B?:","Células TH1.","Células TH2.","Células T citotóxicas.","Células T gamma/delta. 5.Células NK.","","2"
"2000","46","iQue proteína con acción lítica se encuentra en los gránulos de las células T citotóxicas?:","Papaína.","T Tripsina.","Lisozima.","Perforina5.Pepsina.","","4"
"2000","47","Las moléculas del complejo mayor de histocompatibilidad (MHC) de clase II:","Se expresan en todas las células del cuerpo2.Tienen afinidad por CD4. 3.Tienen afinidad por CD8. 4.Están unidas a beta2-microglobulina5.Unen péptidos de8-10 aminoácidos de longitud.","","Tienen afinidad por CD8.","Están unidas a beta2-microglobulina5.Unen péptidos de8-10 aminoácidos de longitud.","","2"
"2000","48","i Cu i I de las siguientes funciones realiza la cadena invariante?:","Se asocia a CD4 en el reconocimiento por el linfocito T.","Favorece el plegamiento de la beta2- microglobulina.","Impide la unión de proteínas intracelulares a moléculas del MHC.","Forma un complejo trimérico molécula MHCpéptido-cadena invariante. 5.Estabiliza las moléculas del MHC en la superficie celular.","","3"
"2000","49","E n qué parte de las moléculas de histocompatibilidad de clase I reside predominantemente el polimorfismo?:","En la porción transmembrana.","En el dominio alfa3","En los dominios alfa1 y alfa2.","En toda la extensión de la molécula. 5.En la cadena beta-2-microglobulina","","3"
"2000","50","i Cu a I de las siguientes moléculas es una citoquina proinflamatoria?:","Interleuquina4. 2,Interferón gamma. 3.Interleuquina10. 4.Interleuquina6. 5.Interleuquina2.","","Interleuquina10.","Interleuquina6. 5.Interleuquina2.","","4"
"2000","51","iCm 0 se llama la parte de la molécula de inmunoglobulina que contiene el sitio de unión a receptores en la superficie de células?:","Pulverización de sólidos.","Los segmentos variables de la cadena alfa del receptor de células T.","Las moléculas auxiliares CD4 y CD8","La histocompatibilidad entre las células presentadoras y las células T.","","5"
"2000","53","E n cuál de los siguientes procesos se realiza el ensayo del punto de burbuja?:","Desecación.","Liofilización.","Filtración.","Pulverización. 5.Mezclado.","","3"
"2000","54","6 Cu a I de las siguientes sustancias no presenta propiedades aglutinantes?:","Sacarosa.","Etilceulosa.","Talco.","Polivinilpirrolidona. 5.Almidón.","","3"
"2000","55","El lauril sulfato sódico se utiliza en la preparación de sistemas dispersos heterogéneos, ¿dentro de qué grupo se encuadra esta sustancia?:","Tensioactivos aniónicos.","Tensioactivos catiónicos.","Tensioactivos no iónicos.","Conservantes. 5.Antioxidantes. 1.Fab. 2.CDR. 3.Cadena J. 4.Segmento V. 5.Fc.","","1"
"2000","57","¿Qué excipiente seleccionaría para preparar supositorios con un contenido alto en principio activo?","Witepsol H12.","Massupol.","Suppocire.","Massa estearinum A. 5.Manteca de cacao.","","1"
"2000","58","Los polietilenglicoles utilizados como vehículos en la formulación de inyectables tienen un peso molecular:","Mayor de600.","Inferior a600.","Igual a600.","Entre650 y700. 5.Entre700 y750.","","2"
"2000","59","Los ésteres del ácido p-hidroxibenzoico, utilizados como conservadores, son:","Muy solubles en agua.","Muy solubles en alcohol.","Insolubles en agua.","Insolubles en alcohol. 5.Presentan numerosas incompatibilidades.","","2"
"2000","60","Si el coeficiente de reparto determinado en los ensayos de preformulación es elevado:","Cabe esperar un efecto sostenido del fármaco, si éste se disuelve en la fase oleosa.","Permite incorporar un cosolvente.","Condiciona la solubilidad de los fármacos con carácter ácido débil.","Condiciona la solubilidad de los fármacos con carácter básico débil. 5.Orienta acerca de su velocidad de disolución.","","1"
"2000","62","Los comprimidos con cubierta entérica convencionales presentan un vaciado gástrico irregular y, por ello, la absorción intestinal de los fármacos que contienen es imprevisible. Con el fin de mejorar la biodisponibilidad de estos fármacos se puede recurrir a:","Administrar dichos comprimidos con alimentos ricos en proteínas.","Administrar dichos comprimidos con una dieta fundamentalmente rica en grasas.","Administrar dichos comprimidos con alimentos calientes para facilitar el vaciado.","Formular el fármaco en comprimidoscon cubierta entérica pero de mayor tamaño que los convencionales para que vacíen antes. 5 Microencapsular el fármaco.","","5"
"2000","63","Dos fármacos, Ay B que confieren características monocompartimentales al organismo y que presentan la misma constante de velocidad de eliminación se administran por vía intravenosa rápida en dosis múltiples. El fármaco A se administra de forma más frecuente que el fármaco B. De acuerdo con estos datos se puede afirmar que:","Los dos fármacos alcanzarán la misma concentración plasmática media en el estado de equilibrio estacionario.","La acumulación será menor en el caso del fármaco B.","La fluctuación entre las concentraciones plasmáticas máxima( C ma x )y mínima( C mi n ) en el estado de equilibrio estacionario será mayor en el caso del fármaco A.","Los dos fármacos presentan el mismo volumen aparente de distribución y el mismo aclaramiento. 5.El fármaco A alcanzará la meseta terapéutica antes que el fármaco B.","","2"
"2000","64","Se quiere formular un fármaco X mediante una forma farmacéutica capaz de controlar su liberación de tal manera que permita niveles plasmáticos constantesy eficaces por periodos de tiempo, al menos, cercanos a las24 horas. El fármaco se presenta como un líquido oleoso de color amarillento, volátil, poco soluble en agua aunque soluble en etanol, glicolesy otros disolventes polares. Su peso molecular es de227,09. Tiene una baja estabilidad acuosa, especialmente a pH inferior a5, y sufre un intenso efecto de primer paso cuando se administra por vía oral. Q farmacéutica se puede utilizar?:","Comprimido recubierto con etil celulosa.","Supositorio.","Sistema o parche transdérmico.","Liofilizado para preparación de un inyectable de administración intravenosa. 5.Sistema OROS.","","3"
"2000","65","Se quiere preparar una forma farmacéutica de administración oral que contenga1 0 0 \ mg de un principio activo destinado al tratamiento de la diabetes no insulino-dependiente. La biodisponibilidad de este fármaco por vía oral es buena y no se ve modificada porla presencia de alimentos. Su fijación a proteínas plasmáticas es del9 9 %: El principio activo se presenta como un polvo marrón de sabor muy amargo, soluble en agua y que precipita en presencia de etanol. Además, sufre hidrólisis muy intensa en condiciones de pH superiores a6. Con los datos que tiene, ¿qué forma farmacéutica recomendaría utilizar?:","Gragea.","Comprimido bucal.","Comprimido efervescente.","Elixir. 5.Comprimido recubierto con hidroxipropilmetilcelulosa.","","5"
"2000","66","En las cartas de control de un ciclo de liofilización puede observarse que el proceso de sublimación se inicia cuando:","La línea correspondiente a la temperatura de la bandeja desciende más que la correspondiente a la temperatura del producto.","La línea correspondiente a la temperatura del producto desciende un poco más que la correspondiente a la temperatura de las bandejas.","Las líneas correspondientes a las temperaturas de las bandejas y del producto son iguales.","La presión e im e de7 6 0 ~ mm deHg y la temperatura de congelación. 5.El descenso de presión es máximo y la temperatura2 0 ‰","","2"
"2000","67","Durante la elaboración de comprimidos se pueden presentar algunos problemas técnicos que hay que prever y evitar. Uno de ellos es la escasa dureza de los comprimidos, que puede atribuirse a:","Presión aplicada en la máquina de comprimir demasiado alta.","Gránulos demasiado secos.","Gránulos demasiado gruesos4.Insuficiente aglutinante5.Matrices de la máquina desgastadas.","","","4"
"2000","69","Las propiedades reológicas de las sustancias sólidas y, en concreto las propiedades de flujo, son críticas para la elaboración de polvos, cápsulas y comprimidos. Existen distintos parámetros para evaluarlasy se puede decir que un polvo presenta buen flujo si:","","","Su ángulo de reposo es menor de2 5 y su índice de Carr menor del1 6 %.","Su ángulo de reposo está comprendido entre4 5 y5 5 5.Su índice de Carr es mayor del2 0 %y su ángulo de reposo mayor de4 5","","3"
"2000","70","Los trazados de Heckel pueden ser utilizados para:","Conocer el mecanismo de deformación predominante en un lecho de polvos, fundamental en la elaboración de comprimidos2.Evaluar la eficacia de los distintos excipientes utilizados en la elaboración de comprimidos. 3.Conocer el mecanismo de acción de los disgregantes utilizados en la fabricación de comprimidos. 4.Conocer los mecanismos de unión entre los gránulos en la granulación por vía húmeda. 5.Conocer los distintos tipos de fuerzas atractivas de cohesión entre las partículas del sólido.","","Conocer el mecanismo de acción de los disgregantes utilizados en la fabricación de comprimidos.","Conocer los mecanismos de unión entre los gránulos en la granulación por vía húmeda. 5.Conocer los distintos tipos de fuerzas atractivas de cohesión entre las partículas del sólido.","","1"
"2000","71","La flora intestinal es un factor que influye en la biodisponibilidad oral de algunos fármacos. Esta influencia tiene especial importancia en el caso de:","Riboflavina.","Tetraciclina.","Griseofulvina.","Estreptomicina. 5.Levodopa.","","5"
"2000","72","Teniendo en cuenta el valor de compresibilidad de los siguientes excipientes de uso farmacéutico ¿cuál de ellos presentará mejores características de fluidez?:","Celutab, compresibilidad= 1 1 %-","Almidón de maíz, compresibilidad= 2 6 %","Estearato magnético, compresiblidad= 3 1 %","Dióxido de titanio, compresibilidad= 3 4 % 5.Talco, compresibilidad= 4 9 %.","","1"
"2000","73","Los almidones modificados, tales como el glicolato sódico de almidón, se utilizan en Tecnología Farmacéutica como:","Disgregantes de comprimidos2.Diluyentes de principios activos incluidos en cápsulas duras de gelatina. 3.Aglutinantes de comprimidos. 4.Agentes suspensores5.Lubrificantes de granulados.","","Aglutinantes de comprimidos.","Agentes suspensores5.Lubrificantes de granulados.","","1"
"2000","75","En el análisis farmacocinético no compartimental, el denominado momento de orden uno corresponde a:","El tiempo medio de residencia (MRT).","La semivida biológica (t ½/).","El área bajo la curva que resulta de representar el producto de las concentraciones plasmáticas del fármaco por los respectivos tiempos, frente a esos tiempos (AUMC).","El área bajo la curva que resulta de representar las concentraciones plasmáticas del fármaco frente a los respectivos tiempos (AUC). 5.La variación del tiempo medio de residencia (VRT).","","3"
"2000","76","¿Debido a la estimulación de qué hormona se produce la hipertrofia e hiperplasia del endometrio durante la fase proliferativa del ciclo endometrial?:","Progesterona.","Androsterona.","Estradiol.","Gonadotrofina coriónica. 5.Somatomedina.","","3"
"2000","77","¿Dónde se sintetiza la oxitocina?:","Hipotálamo.","Adenohipófisis.","Ovario.","Testículo. 5.Glándula mamaria","","1"
"2000","78","¿Dónde y mediante qué mecanismo se reabsorben de la luz intestinal las moléculas de ácidos biliares tras llevar a cabo su papel en la digestión?:","En el colon mediante cotransporte con bicarbonato.","En el duodeno mediante un cotransporte con sodio.","En el íleon mediante transporte activo primario.","En el yeyuno mediante transporte activo primario. 5.En el íleon mediante cotransporte con sodio.","","5"
"2000","79","¿Cuál de las siguientes características de la","Motoneuronas.","Oligodendrocitos.","Células de Schwann.","Microglía. 5.Macroglía.","","5"
"2000","80","i Cu dl de los siguientes factores no interviene en el equilibrio de Starling, que define el intercambio de agua entre los capilaresy los tejidos?:","Presión hidrostática en los capilares.","Presión coloidosmótica del líquido intersticial.","Presión coloidosmótica debida a la albúmina sérica.","Presión coloidosmótica debida a hemoglobina intraeritrocitaria. 5.Presión hidrostática en el líquido intersticial.","","4"
"2000","81","La unión de un catión a una proteína muscular desencadena el proceso de contracción. ¿Cuáles son ambos elementos?:","Actina y calcio.","Actina y sodio.","Troponina y calcio.","Troponina y sodio. 5.Miosina y calcio.","","3"
"2000","83","La secreción de PTH es estimulada por:","Hipofosfatemia.","Calcitonina.","Hipocalcemia.","Hipercalcemia. 5.Hipermagnesemia.","","3"
"2000","84","El ácido láctico intravenoso aumenta la respi ración. Los receptores responsables de este efecto se encuentran localizados en:","Bulbo raquídeo.","Cuerpos carotideos.","Parénquima pulmonar.","Barorreceptores aórticos5.Tráquea y bronquios de gran tamaño.","","2"
"2000","85","El valor hematrocrito determina directamente","Despolarización auricular.","El volumen del plasma más el volumen de los elementos formes.","El volumen ocupado por los eritrocitos en la sangre expresado en tanto por cien.","La cantidad de hemoglobina en sangre La presión osmótica del plasma","","3"
"2000","87","La presión oncótica de la sangre es la presión osmótica desarrollada por:","Los glóbulos rojos.","Los leucocitos.","Las plaquetas.","Las proteínas plasmáticas. 5.La glucosa e iones plasmáticos.","","4"
"2000","88","Una niña de1 años es hospitalizada de urgencia por menorragias. Antecedentes personales: hemorragia tras extracción dental a los6 años Los resultados del test de hemostasia son: Tiempo de sangría:4 mi n; Plaquetas: 2 6 0. 0 0 0 / m m3;Retracción del coágulo: Normal; Tiempo de coagulación:8 mi n; Tiempo de protrombina:5 3 \ se g CN = 1 3 ~ se g; Tiempo de cefalina:6 0 \ \ se g CN = 6 0 ~ \ se g ); Tiempo de trombina: 16 seg( CN = 1 6 ~ se g ); Fibrinógeno: z, s L Según estas pruebas se trata de:","","Hemofilia A.","Hemofilia B..Déficit de Factor XII. 5.Déficit de Factor XIII","","","1"
"2000","89","La anemia falciforme es una hemoglobinopatía estructural con presencia aumentada en la electroforesis de:","Hemoglobina S.","Hemoglobina M.","Hemoglobina D.","Hemoglobina E. 5.Hemoglobina Lepore.","","1"
"2000","90","La presencia en orina de la proteína de BenceJones es característica de:","","Mieloma múltiple.","Anemia megaloblástica. 4 Esferocitosis hereditaria. 5. Eritroleucemia.","","","2"
"2000","91","NO se considera inclusión eritrocitaria a:","Punteado basófilo.","Anillo de Cabot.","Bastones de Auer.","Cuerpos de Howell-Jolly5.Cuerpos de Heinz.","","3"
"2000","92","¿Qué célula NO forma parte del estroma y microambiente medular hematopoyético?:","Fibroblasto.","Adipocito.","Osteocito.","Macrófago. 5.Células reticulares.","","3"
"2000","93","Desde el punto de vista ontogénico, ¿de qué célula está mas alejado el monocito?:","Linfocito.","Hematie.","Segmentado.","Eosinófilo. 5.Plaqueta.","","1"
"2000","94","La reticulocitosis es un dato de laboratorio típico de:","Anemia hemolítica intravascular.","Anemia aplásica.","Beta-Talasemia minor.","Leucemia mieloide crónica. 5.Drepanocitosis.","","1"
"2000","95","Las α-talasemias son debidas a alteraciones moleculares del cromosoma:","Cromosoma11.","Cromosoma16.","Cromosoma21.","Cromosoma X. 5.Cromosoma1.","","2"
"2000","96","¿Qué prueba de laboratorio NO es útil en la detección de anemia Megaloblástica?:","","Homocisteina en suero.","Determinación de cobalamina y folatos en suero.","Prueba de Donath-Landsteiner. 5.Determinación de anticuerpos anti-Factor Intrínseco.","","4"
"2000","97","Uno de los siguientes mecanismos de compensación NO se activa ante una situación de hipoxia;","Hipercapnia.","Aumento del gasto cardíaco3.Policitemia. 4.Aumento de la concentración de oxigeno extraída por los tejidos. 5. Hiperpnea.","","Aumento de la concentración de oxigeno extraída por los tejidos. 5. Hiperpnea.","","1"
"2000","98","Las hipoglucemias posprandiales son características de individuos con:","Insuficiencia hepática grave2.Tumores pancreáticos que secretan insulina3.Excesivo consumo de alcohol. 4.Insuficiencia de hormonas hiperglucemiantes. 5.Gastrectomizados.","","","Insuficiencia de hormonas hiperglucemiantes. 5.Gastrectomizados.","","5"
"2000","99","¿En cual de las siguientes patologías renales NO existe una disminución del filtrado?:","Síndrome glomerulonefrítico.","Síndrome nefrótico.","Nefropatía obstructiva.","Insuficiencia renal aguda pre-renal. 5.Síndrome urémico de la insuficiencia renal crónica.","","2"
"2000","100","CuaI de los siguientes síntomas NO corresponde a un cuadro típico de hipertiroidismo?:","Piel caliente y sudorosa2.Taquicardia. 3.Intranquilidad y tensión constante. 4.Pérdida de peso y aumento del apetito5.Hipercolesterolemia.","","Intranquilidad y tensión constante.","Pérdida de peso y aumento del apetito5.Hipercolesterolemia.","","5"
"2000","101","¿Qué lesión caracteriza a la atelectasia?:","Dilatación anormal y persistente de los bronquios.","Dilatación de los espacios aéreos situados más allá de los bronquios terminales y desaparición parcial de los tabiques interalveolares.","Ocupación de los alveolos por un exudado denso.","Colapso alveolar con desaparición de su contenido aéreo. 5.Ocupación del instersticio pulmonar por tejidos patológicos.","","4"
"2000","102","La inflamación de los conductores biliares se denomina:","Colecistitis.","Colelitiasis.","Colangitis.","Coleocistitis. 5. Coleitis.","","3"
"2000","103","¿Qué es una parestesia?:","La pérdida total de motilidad voluntaria.","La pérdida parcial de motilidad voluntaria.","La disminución de la sensibilidad.","Disturbios de la sensibilidad en forma de hormigueo o adormecimiento. 5.Percepción de un estímulo como si fuera más intenso de lo que es.","","4"
"2000","104","La pancreatitis agua es un proceso de necrosisinflamación producido por autodigestión al ser liberados in situ fermentos pancreáticos en forma activa. La activación intratisular es desencadenada, en un fenómeno tipo cascada, por la enzima:","Quimotripsina.","Tripsina.","Carboxipeptidasa.","Fosfolipasa A. 5.Elastasa.","","2"
"2000","105","Entre las siguientes manifestaciones de policitemia existe una FALSA, señálela:","Disminución en la concentración de hemoglobina reducida.","Dilatación venosa.","Coloración rojo-vinosa de la piel y mucosas4.Hipervolemia. 5.Aumento de la viscosidad sanguínea.","","","1"
"2000","106","Qu tenfermedad se caracteriza por una deficiencia de HDL?:","Hiperalfalipoproteinemia familiar.","Hipobetalipoproteinemia familiar.","Disbetalipoproteinemia familiar.","Enfermedad de Tangier5.Enfermedad de Pompe.","","4"
"2000","107","La glucogenosis tipo Io enfermedad de Von Gierke se debe a una deficiencia de:","Fosfofructoquinasa.","Glucógeno sintasa.","Glucosa-6-fosfatasa.","Enzima desramificante. 5.Glucógeno fosforilasa.","","3"
"2000","108","¿Qué hemoglobina es responsable de la anemia falciforme?:","HbA.","HbF.","HbH.","HbE. 5.HbS.","","5"
"2000","109","i Cu i I de las siguientes enfermedades tiene su origen en una deficiencia de esfingomielinasa?:","Niemann-Pick.","Tay-Sach.","aucher.","Fabry. 5.FFarber.","","1"
"2000","112","¿Cómo se denomina la deficiencia de hormona antidiurética (ADH)?:","Enfermedad de Addison.","Diabetes insípida. 3,Acromegalia. 4.Sindrome de Turner. 5.Artritis reumatoide.","","Sindrome de Turner. 5.Artritis reumatoide.","","2"
"2000","114","Zafirlukast es un agente recientemente introducido en terapéutica que bloquea de forma selectiva el siguiente receptor:","-adrenérgico.","-adrenérgico.","Trombosanos.","Opiáceo. 5.Leucotrienos.","","5"
"2000","115","Meloxicam, presenta una serie de ventajas sobre el resto de los AINEs basadas en su mecanismo de acción, que consiste en:","","","","","","5"
