"exam_year","question_number","question_text","option_1","option_2","option_3","option_4","option_5","correct_option_number","correct_option_text","subject_name","section_name"
"2019","11","¿Cómo se denomina la demarcación poblacional y geográfica fundamental para la atención primaria de la salud?:","Centro de Salud","Consultorio de Salud","Área de Salud","Zona Básica de Salud","","4","Zona Básica de Salud","LEGISLACION","DERECHO"
"2019","12","El establecimiento de los títulos de Especialistas en Ciencias de la Salud, así como su supresión o cambio de denominación, de conformidad con la Ley 44/2003, de 21 de noviembre de Ordenación de profesiones sanitarias, corresponde al:","Ministerio de Educación, Cultura y Deporte","Ministerio de Sanidad, Consumo y Bienestar social","Gobierno","Conjuntamente al Ministerio de Sanidad y Educación","","3","Gobierno","LEGISLACION","DERECHO"
"2019","13","Según la Ley 16/2003, de 28 de mayo, de Cohesión y Calidad del Sistema Nacional de Salud, el conjunto de iniciativas organizadas por las Administraciones públicas para preservar, proteger y promover la salud de la población define a:","La prestación de salud pública","La prestación de atención sociosanitaria","La prestación ortoprotésica","La prestación de productos dietéticos","","1","La prestación de salud pública","LEGISLACION","DERECHO"
"2019","14","El Decreto 67/2015, de 13 de agosto, establece que es un órgano central de la Consejería de Sanidad:","Agencia de Sanidad Ambiental y Consumo","Consejo de Salud del Principado de Asturias","Secretaría General Técnica","Dirección Gerencia del Servicio de Salud del Principado de Asturias","","3","Secretaría General Técnica","LEGISLACION","DERECHO"
"2019","15","El índice de dependencia global se define como:","La población de 65 y más años con relación a la población menor de 15 años","La relación de la población mayor de 64 años y los menores de 16 años respecto al grupo comprendido entre ambas edades","El porcentaje de población menor de 18 años con relación a la población de 18 a 64 años","El porcentaje de población mayor de 65 años con relación a la población menor de 18 años","","2","La relación de la población mayor de 64 años y los menores de 16 años respecto al grupo comprendido entre ambas edades","LEGISLACION","DERECHO"
"2019","16","El incidente que produce daño al paciente se define en el proyecto SÉNECA como:","Negligencia","Evento adverso","Lesión","Sufrimiento","","2","Evento adverso","LEGISLACION","DERECHO"
"2019","17","El proceso que permite a las personas mejorar su salud y ejercer un mayor control sobre la misma, se define en la carta de Otawa, como:","Educación para la salud","Promoción de la salud","Salud Pública","Calidad de vida","","2","Promoción de la salud","LEGISLACION","DERECHO"
"2019","18","¿Qué escala utilizaremos para valorar la sobrecarga del cuidador?","Escala de Norton","Test de Yesavage","Índice de Katz","Test de Zarit","","4","Test de Zarit","LEGISLACION","DERECHO"
"2019","19","¿Cuál de los siguientes no es un operador booleano?","NOT","OR","YES","AND","","3","YES","LEGISLACION","DERECHO"
"2019","20","¿Cuál es la principal causa de muerte externa entre la población masculina española?:","Suicidio","Caídas accidentales","Accidentes de tráfico","Ahogamiento","","1","Suicidio","LEGISLACION","DERECHO"
"2019","21","La Estrategia para la Nutrición, Actividad Física y Prevención de la Obesidad (NAOS) recomienda, en cuanto a la alimentación:","Promover la utilización de sal yodada","Moderar el consumo de azúcares complejos","No superar el 50% de ingesta diaria de grasas","Reducir el consumo de sal a 15 gramos/día","","1","Promover la utilización de sal yodada","LEGISLACION","DERECHO"
"2019","22","La clasificación de los diagnósticos en la taxonomía II NANDA-I (North American Nursing Diagnosis Association-Internacional) está estructurada a través de:","Diagnósticos enfermeros, dominios y campos","Dominios, clases y diagnósticos enfermeros","Dominios, clases y campos","Diagnósticos enfermeros, campos y clases","","2","Dominios, clases y diagnósticos enfermeros","LEGISLACION","DERECHO"
"2019","23","No es una enfermedad de declaración obligatoria:","Carbunco","Sarcoidosis","Tularemia","Hepatitis A","","2","Sarcoidosis","LEGISLACION","DERECHO"
"2019","24","Los programas de cribado poblacional para la detección precoz del cáncer constituyen una medida de prevención:","Primaria","Secundaria","Terciaria","Cuaternaria","","2","Secundaria","LEGISLACION","DERECHO"
"2019","25","Son fuentes de documentación secundaria:","Los Boletines Oficiales","Las Tesis doctorales","Las Bases de datos bibliográficas","Las Monografías","","3","Las Bases de datos bibliográficas","LEGISLACION","DERECHO"
"2019","26","Una de las estrategias incluidas en el área ""Fomento de la excelencia clínica"" del Plan de Calidad para el Sistema Nacional de Salud es:","Salud y hábitos de vida","Adecuación de los recursos humanos del Sistema Nacional de Salud a las necesidades de los servicios sanitarios","Acreditar y auditar centros y servicios sanitarios","Sanidad en línea","","3","Acreditar y auditar centros y servicios sanitarios","LEGISLACION","DERECHO"
"2019","27","La estrategia para evaluar la calidad asistencial desarrollada por Donabedian se basa en:","Análisis de la estructura, del proceso y de los resultados","Gestión del riesgo y promoción de productos y servicios","Sistematización de indicadores y estándares para la evaluación de la calidad","Planificación, control y mejora de la calidad","","1","Análisis de la estructura, del proceso y de los resultados","LEGISLACION","DERECHO"
"2019","28","De los siguientes estudios de investigación, ¿cuáles pertenecen a la categoría de estudios analíticos observacionales?","Estudios de prevalencia","Estudios transversales","Estudios descriptivos","Estudios de casos y controles","","4","Estudios de casos y controles","LEGISLACION","DERECHO"
"2019","29","En Educación para la salud, una intervención de tipo oportunista, de 2 a 10 minutos de duración, que incluye información y una propuesta motivadora de cambio, aprovechando una consulta o encuentro profesional, se denomina:","Recomendación","Consejo breve","Entrevista individual","Sugerencia","","2","Consejo breve","LEGISLACION","DERECHO"
"2019","30","Según el calendario común de vacunación infantil del Consejo Interterritorial del Sistema Nacional de Salud, a los 4 meses de edad se recomienda la vacunación de los niños frente a:","Difteria. Tétanos. Tosferina. Poliomielitis. Haemophilus influenzae tipo b. Neumococo.","Hepatitis B. Tétanos. Difteria. Tosferina. Poliomielitis. Haemophilus influenzae tipo b. Neumococo.","Hepatitis B. Difteria. Tétanos. Tosferina. Poliomielitis. Haemophilus influenzae tipo b. Neumococo. Meningococo C","Sarampión. Rubeola. Parotiditis. Meningococo C","","3","Hepatitis B. Difteria. Tétanos. Tosferina. Poliomielitis. Haemophilus influenzae tipo b. Neumococo. Meningococo C","LEGISLACION","DERECHO"
"2019","31","¿A qué fase del Proceso de Atención de Enfermería corresponde la selección de las intervenciones?:","Valoración","Diagnóstico","Planificación","Evaluación","","3","Planificación","LEGISLACION","DERECHO"
"2019","32","En el Proyecto SÉNECA el grado en el que un sistema previene, detecta, mitiga o mejora continuamente peligros o incidentes, se denomina:","Calidad","Seguridad","Resiliencia","Medida de mejora","","3","Resiliencia","LEGISLACION","DERECHO"
"2019","33","Cuando hay un conflicto entre los principios éticos se establece una jerarquía entre ellos. Los principios que tienen prioridad son:","Autonomía y justicia","Beneficencia y autonomía","No maleficencia y justicia","Beneficencia y justicia","","3","No maleficencia y justicia","LEGISLACION","DERECHO"
"2019","34","¿Qué medición antropométrica utilizará para determinar las reservas de grasa?:","La circunferencia media del brazo","La medida del pliegue cutáneo","La circunferencia media del músculo del brazo","El índice de Masa Corporal","","2","La medida del pliegue cutáneo","LEGISLACION","DERECHO"
"2019","35","La vía de transmisión del Herpes zóster diseminado es:","Por contacto","Aérea","Por gotitas","a y b son correctas","","4","a y b son correctas","LEGISLACION","DERECHO"
"2019","36","El conjunto mínimo de datos que debe tener el Informe de Cuidados de Enfermería no incluye:","Valoración activa","Causas que genera la actuación enfermera","Enfermedades previas","Motivo de Alta/Derivación Enfermera","","3","Enfermedades previas","LEGISLACION","DERECHO"
"2019","37","La probabilidad de que una persona con un resultado negativo en una prueba diagnóstica esté realmente sano se denomina:","Valor predictivo positivo","Valor predictivo negativo","Sensibilidad","Prevalencia","","2","Valor predictivo negativo","LEGISLACION","DERECHO"
"2019","38","En la estrategia por una alimentación equilibrada, un cuarto del ""Plato saludable"" está ocupado por:","Proteínas","Verduras","Frutas","Hortalizas","","1","Proteínas","LEGISLACION","DERECHO"
"2019","39","En el contexto de una infección por un agente patógeno que se transmite por gotitas, indique la opción incorrecta:","Se pueden ubicar a los pacientes por cohortes si comparten el mismo diagnóstico etiológico","Un ejemplo de agente patógeno que se transmite por gotitas es el virus de Influenza Humana A","El equipo de protección personal debe utilizarse cuando se trabaja dentro de un radio de 1 metro alrededor del paciente","La prevención de la transmisión exige una manipulación especial del aire y de la ventilación","","4","La prevención de la transmisión exige una manipulación especial del aire y de la ventilación","LEGISLACION","DERECHO"
"2019","40","El empleo de carbón activado como descontaminante no está indicado en la ingesta reciente de qué fármaco:","Fenobarbital","Carbamazepina","Litio","Teofilina","","3","Litio","LEGISLACION","DERECHO"
"2019","41","¿Cómo se denominan las claves o inferencias observables que se agrupan como manifestaciones de un diagnóstico real, de salud o de promoción de la salud?","Etiquetas diagnósticas","Características definitorias","Factores de riesgo","Factores relacionados","","2","Características definitorias","LEGISLACION","DERECHO"
"2019","42","La ceguera nocturna por empeoramiento de la adaptación a la oscuridad es un síntoma temprano de déficit de:","Vitamina A","Vitamina B","Vitamina C","Vitamina E","","1","Vitamina A","LEGISLACION","DERECHO"
"2019","43","¿Cuál de las siguientes enfermedades no está incluida en el programa de cribado neonatal de enfermedades endocrino-metabólicas?","Fibrosis quística","Anemia megaloblástica","Acidemia glutárica tipo I","Déficit de acil coenzima A deshidrogenasa de cadena media","","2","Anemia megaloblástica","LEGISLACION","DERECHO"
"2019","44","Indique la secuencia correcta para ponerse un equipo de protección personal compuesto por mascarilla, bata, guantes y gafas protectoras cuando administra cuidados a un paciente que tiene una infección transmisible:","Guantes - gafas protectoras - bata - mascarilla","Bata - mascarilla - gafas protectoras - guantes","Mascarilla - bata - gafas protectoras - guantes","El orden en el que se coloca el equipo de protección personal es irrelevante","","2","Bata - mascarilla - gafas protectoras - guantes","LEGISLACION","DERECHO"
"2019","45","Se consideran signos de amamantamiento adecuado todos los señalados a continuación excepto:","El bebé se acerca al pecho con la nariz frente al pezón","Más areola visible por encima del labio superior","Se oyen ruidos de chupeteo o chasquidos","La madre siente sed, relajación o somnolencia","","3","Se oyen ruidos de chupeteo o chasquidos","LEGISLACION","DERECHO"
"2019","46","Se define recién nacido prematuro como aquel que nace:","Antes de los 245 días contados a partir del primer día de la última regla","Antes de los 252 días contados a partir del primer día de la última regla","Antes de los 259 días contados a partir del primer día de la última regla","Antes de los 266 días contados a partir del primer día de la última regla","","3","Antes de los 259 días contados a partir del primer día de la última regla","LEGISLACION","DERECHO"
"2019","47","Dentro de los ""5 momentos"" para la higiene de las manos recomendados por la Organización Mundial de la Salud, ""después de la exposición a líquidos corporales"" ¿a qué momento corresponde?:","Momento 2","Momento 3","Momento 4","Momento 5","","2","Momento 3","LEGISLACION","DERECHO"
"2019","48","Ante una mujer de 20 años que presenta leucorrea vaginal abundante, amarillenta, espumosa y con burbujas de aire, debe sospecharse infección por:","Neisseria Gonorrhoeae","Trichomonas vaginalis","Cándida Albicans","Gardnerella vaginalis","","2","Trichomonas vaginalis","LEGISLACION","DERECHO"
"2019","49","Indique con qué se inicia la secuencia de acciones para la realización de Soporte Vital Básico/DEA (desfibrilación externa automatizada) por un reanimador entrenado para tratar un adulto víctima de parada cardiaca:","Evaluar a la víctima, sacudiéndola suavemente por los hombros","Garantizar la seguridad del reanimador, víctima y cualquier testigo","Mirar, escuchar y sentir la respiración normal","Abrir la vía aérea, colocando a la víctima en decúbito supino","","2","Garantizar la seguridad del reanimador, víctima y cualquier testigo","LEGISLACION","DERECHO"
"2019","50","¿Cómo se denomina el umbral a partir del cual la pérdida de la reserva fisiológica y de la capacidad de adaptación del organismo empieza a ser insuficiente para mantener la independencia y conlleva el riesgo de perderla?:","Demencia","Fragilidad","Discapacidad","Minusvalía","","2","Fragilidad","LEGISLACION","DERECHO"
"2019","51","¿Cuándo no está indicada la elección de un apósito hidrocoloide para el cuidado de una herida?","En últimas fases de granulación y epitelización","En lesiones infectadas o con signos de elevada carga bacteriana","Como protección de la piel en zonas de roce o fricción","En la curación de heridas o úlceras de grado I","","2","En lesiones infectadas o con signos de elevada carga bacteriana","LEGISLACION","DERECHO"
"2019","52","La siguiente gasometría: pH 7,50; PaCO2 40 mmHg; HCO3 35 mEq/l, PaO2 100 mmHg, ¿qué alteración representa?","Acidosis respiratoria","Alcalosis respiratoria","Acidosis metabólica","Alcalosis metabólica","","4","Alcalosis metabólica","LEGISLACION","DERECHO"
"2019","53","¿En qué estadio de Tanner de desarrollo puberal incluiría la aparición del brote mamario?","Estadio 1 (M1)","Estadio 2 (M2)","Estadio 3 (M3)","Estadio 4 (M4)","","2","Estadio 2 (M2)","LEGISLACION","DERECHO"
"2019","54","Indique qué afirmación es correcta según la escalera analgésica de la Organización Mundial de la Salud para el tratamiento del dolor:","Los Corticoides son analgésicos del primer escalón","El Paracetamol no tiene techo analgésico","Los Anticonvulsivantes son coanalgésicos indicados en dolor neuropático","La Morfina se puede asociar con Tramadol","","3","Los Anticonvulsivantes son coanalgésicos indicados en dolor neuropático","LEGISLACION","DERECHO"
"2019","55","En la anorexia nerviosa restrictiva, el paciente:","Provoca habitualmente el vómito","Realiza purgas con frecuencia","No recurre regularmente a atracones","Hace uso excesivo de laxantes","","3","No recurre regularmente a atracones","LEGISLACION","DERECHO"
"2019","56","Una negación del fallecimiento con una esperanza infundada de retorno del finado, padeciendo un intenso cuadro de ansiedad y deteniéndose la evolución del duelo en la primera fase, se denomina duelo patológico:","Ausente o retardado","Enmascarado","Inhibido","Crónico","","1","Ausente o retardado","LEGISLACION","DERECHO"
"2019","57","En la escala de coma de Glasgow, la respuesta motora puede obtener una puntuación máxima de:","3","4","5","6","","4","6","LEGISLACION","DERECHO"
"2019","58","Los menores de edad deberán utilizar sistemas de retención infantil en el vehículo cuando su estatura sea igual o inferior a:","150 centímetros","140 centímetros","135 centímetros","120 centímetros","","3","135 centímetros","LEGISLACION","DERECHO"
"2019","59","¿Cómo se denomina la regla que se usa frecuentemente para clasificar las quemaduras según su extensión y valorar grandes superficies de un modo rápido en niños?:","Regla de Lund y Browder","Regla de Wallace","Regla de los 9","Regla de Benaim","","1","Regla de Lund y Browder","LEGISLACION","DERECHO"
"2019","60","Indique la opción correcta de la posición de los electrodos de un electrocardiograma convencional:","La derivación V3 se sitúa en la línea axilar anterior, 5º espacio intercostal","La derivación V4 se sitúa en la línea media clavicular, 5º espacio intercostal","La derivación V1 se sitúa en el cuarto espacio intercostal izquierdo","La derivación V6 se sitúa en el borde esternal izquierdo, 4º espacio intercostal","","2","La derivación V4 se sitúa en la línea media clavicular, 5º espacio intercostal","LEGISLACION","DERECHO"
"2019","61","¿Cuál de las siguientes actuaciones frente a una exposición accidental al VIH no es correcto realizar?:","En caso de exposición percutánea, permitir el sangrado","En caso de contaminación cutánea, lavar con agua y jabón","En caso de exposición sexual, lavar las mucosas con ""ducha-chorro de agua""","En caso de contaminación percutánea, aplicar un agente cáustico","","4","En caso de contaminación percutánea, aplicar un agente cáustico","LEGISLACION","DERECHO"
"2019","62","La población diana incluida en el Programa de Detección Precoz de Cáncer Colorrectal es la comprendida:","Entre 55 y 69 años","Entre 50 y 69 años","Entre 50 y 65 años","Todas las opciones son falsas","","2","Entre 50 y 69 años","LEGISLACION","DERECHO"
"2019","63","¿Qué debe confirmar verbalmente el profesional de enfermería en la última fase del listado de verificación de la seguridad de la cirugía?","La identidad del paciente y el sitio quirúrgico","Si se ha confirmado la esterilidad","Si existen problemas relacionados con el instrumental y los equipos","El etiquetado de las muestras","","4","El etiquetado de las muestras","LEGISLACION","DERECHO"
"2019","64","¿Cómo se denomina el desbridamiento que se produce naturalmente en lesiones por presión cuando el entorno de la herida es húmedo?:","Mecánico","Enzimático","Autolítico","Autólogo","","3","Autolítico","LEGISLACION","DERECHO"
"2019","65","¿Cuál es el antídoto de elección ante una intoxicación por Opiáceos?:","Atropina","Flumazenilo","Naloxona","Mepivacaína","","3","Naloxona","LEGISLACION","DERECHO"
"2019","66","¿Cuál es el riesgo de desarrollar una úlcera por presión, si realizamos la escala de Braden a un paciente y obtenemos un resultado de 14 puntos?","Sin riesgo","Bajo","Moderado","Alto","","3","Moderado","LEGISLACION","DERECHO"
"2019","67","En función de su etiopatogenia, el ictus isquémico se clasifica como:","Cardioembólico, lacunar, subaracnoideo, de causa inhabitual y de origen indeterminado","Aterotrombótico, cardioembólico, lacunar, de causa inhabitual y de origen indeterminado","Aterotrombótico, focal, global, de origen indeterminado y de causa inhabitual","Aterotrombótico, cardioembólico, lacunar, intracerebral y de origen indeterminado","","2","Aterotrombótico, cardioembólico, lacunar, de causa inhabitual y de origen indeterminado","LEGISLACION","DERECHO"
"2019","68","La actividad de salud pública que tiene como objetivo identificar, cuantificar, evaluar y prevenir los riesgos asociados al uso de los medicamentos una vez comercializados se denomina:","Farmacocinética","Farmacopea","Farmacovigilancia","Farmacoepidemiología","","3","Farmacovigilancia","LEGISLACION","DERECHO"
"2019","69","El diagnóstico de Diabetes tipo 2 viene definido por dos determinaciones sanguíneas en ayunas en dos días diferentes con un valor igual o mayor de:","110 mg/dl","120 mg/dl","126 mg/dl","140 mg/dl","","3","126 mg/dl","LEGISLACION","DERECHO"
"2019","70","Indique cuál es un signo clínico de una fractura de cuello de fémur:","Alargamiento y rotación externa del miembro afectado","Alargamiento y rotación interna del miembro afectado","Acortamiento y rotación interna del miembro afectado","Acortamiento y rotación externa del miembro afectado","","4","Acortamiento y rotación externa del miembro afectado","LEGISLACION","DERECHO"
"2019","71","En la interpretación de una espirometría, cuando la FVC (Capacidad Vital Forzada) y el FEV1 (Volumen espiratorio forzado en el primer segundo) son menores de un 80% de su valor teórico y la relación FEV1/FVC es normal, estamos hablando de un patrón espirométrico:","Obstructivo","Restrictivo","Mixto","Hiperreactivo","","2","Restrictivo","LEGISLACION","DERECHO"
"2019","72","¿Qué representa la Onda T de un electrocardiograma?","La despolarización auricular","La repolarización ventricular","La despolarización ventricular","Se desconoce su significado","","2","La repolarización ventricular","LEGISLACION","DERECHO"
"2019","73","¿Cuál de las siguientes manifestaciones no constituye un cambio fisiológico-funcional relacionado con el envejecimiento?","Disminución de la secreción gástrica","Aumento en la capacidad de coordinación y de control muscular","Mayor facilidad para las heridas ante pequeños traumas","Aumento de la resistencia a la insulina","","2","Aumento en la capacidad de coordinación y de control muscular","LEGISLACION","DERECHO"
"2019","74","El grado en el que los servicios de salud prestados a personas y poblaciones aumentan la probabilidad de que se produzcan los efectos buscados en la salud y son coherentes con los conocimientos profesionales del momento, se define, en el Proyecto SÉNECA, como:","Confianza","Calidad","Resiliencia","Evento","","2","Calidad","LEGISLACION","DERECHO"
"2019","75","¿En qué tipo de colostomías está indicado el uso de una irrigación?","Colostomías terminales sigmoideas","Colostomías con prolapso","Ileostomías","Colostomías ascendentes","","1","Colostomías terminales sigmoideas","LEGISLACION","DERECHO"
"2019","76","¿Cuál de los siguientes apósitos es eficaz en el cuidado de una herida crónica con presencia de signos de infección y biofilm?","Apósitos de plata","Apósitos de cadexómero yodado","Apósitos de miel","Todas las anteriores son correctas","","4","Todas las anteriores son correctas","LEGISLACION","DERECHO"
"2019","77","En el Proyecto SÉNECA los Indicadores Clave medidos a través de Historias Clínicas incluyen:","Pacientes que perciben que han participado en las decisiones sobre su enfermedad","Pacientes que perciben accesibilidad física segura","Pacientes dados de alta sin informe de continuidad de cuidados","Todas son correctas","","3","Pacientes dados de alta sin informe de continuidad de cuidados","LEGISLACION","DERECHO"
"2019","78","¿Qué tipo de anemia provoca el déficit de vitamina B12?","Anemia hemolítica","Anemia megaloblástica","Talasemia","Anemia ferropénica","","2","Anemia megaloblástica","LEGISLACION","DERECHO"
"2019","79","En la escala de Maddox de valoración de flebitis, la existencia de dolor en el sitio de punción, eritema y/o inflamación, sin cordón venoso palpable ni induración, se corresponde con:","Grado 0","Grado 1","Grado 2","Grado 3","","3","Grado 2","LEGISLACION","DERECHO"
"2019","80","¿Cómo se denomina el trastorno de la conducta alimentaria caracterizado por la ingesta de sustancias no nutritivas?","Coprofagia","Potomanía","Mericismo","Alotriofagia","","4","Alotriofagia","LEGISLACION","DERECHO"
"2019","81","¿De quién depende orgánicamente la Unidad de Evaluación en Calidad del Servicio de Salud del Principado de Asturias?:","La Gerencia del Área Sanitaria","La Dirección de Atención Sanitaria y Salud Pública del Área Sanitaria","La Unidad de Certificación de Calidad de la Consejería de Sanidad","Todas las respuestas anteriores son falsas","","4","Todas las respuestas anteriores son falsas","LEGISLACION","DERECHO"
"2019","82","El Decreto 67/2015, de 13 de agosto, establece que la dirección estratégica de las políticas de calidad en el entorno sanitario es competencia de:","La Secretaría General Técnica","La Dirección General de Salud Pública","La Dirección General de Planificación Sanitaria","La Dirección General de Política Sanitaria","","3","La Dirección General de Planificación Sanitaria","LEGISLACION","DERECHO"
"2019","83","Ante una extravasación de una perfusión de Vincristina, el profesional de enfermería aplicará:","Calor","Frío húmedo","Frío seco","No se aplica nada","","1","Calor","LEGISLACION","DERECHO"
"2019","84","Según el Decreto 67/2015, de Estructura orgánica básica de la Consejería de Sanidad del Principado de Asturias, el órgano de asesoramiento del titular de la Consejería en materias relacionadas con la salud pública y la sanidad, con la intención de fomentar una adecuada gobernanza del sistema sanitario público, es:","El Consejo de Dirección","El Consejo de Salud del Principado de Asturias","El Consejo Asesor de Sanidad del Principado de Asturias","El Consejo Desconcentrado del Servicio de Salud del Principado de Asturias","","3","El Consejo Asesor de Sanidad del Principado de Asturias","LEGISLACION","DERECHO"
"2019","85","La Desinfección de Alto Nivel está especialmente indicada para:","Material semicrítico","Material crítico","Material considerado no crítico","Suelos, superficies, mobiliario","","1","Material semicrítico","LEGISLACION","DERECHO"
"2019","86","Cuando deba obtener una muestra de sangre para una gasometría arterial es cierto que:","Debe realizar previamente el test de Allen si la punción se realiza en la arteria radial","Las principales arterias a puncionar son, por este orden, radial, cefálica, humeral y femoral","Si se punciona la arteria femoral, el ángulo de inclinación de la aguja debe ser de 45°","a y b son correctas","","1","Debe realizar previamente el test de Allen si la punción se realiza en la arteria radial","LEGISLACION","DERECHO"
"2019","87","Los principios de la bioética, respeto a las personas, beneficencia y justicia, quedan recogidos en un primer documento denominado:","Código Deontológico","Declaración de Helsinki de 1964","Informe Belmont","Convenio de Oviedo de 1997","","3","Informe Belmont","LEGISLACION","DERECHO"
"2019","88","En la utilización de productos para el cuidado de la piel sana, frágil y perilesional es cierto que:","Los ácidos grasos hiperoxigenados (AGHO) se extienden aplicando un masaje para favorecer la absorción del producto","El uso de pomadas de zinc como producto barrera permite la visualización de la piel y la adhesividad de otros productos","Los AGHO son útiles en la prevención de lesiones por presión","Se pueden utilizar productos barrera alcohólicos si no existe evidencia de lesión dérmica","","3","Los AGHO son útiles en la prevención de lesiones por presión","LEGISLACION","DERECHO"
"2019","89","Indique qué es necesario realizar a un paciente que ha ingerido un producto doméstico de limpieza compuesto por amoniaco:","Administrar eméticos","Realizar lavado gástrico con carbón activado","Administrar catárticos","Ninguna de las opciones está indicada","","4","Ninguna de las opciones está indicada","LEGISLACION","DERECHO"
"2019","90","¿A qué clasificación de residuos sanitarios pertenecen las bolsas de colostomía?:","Grupo II","Grupo III","Grupo IV","Grupo V","","1","Grupo II","LEGISLACION","DERECHO"
"2019","91","Los efectos perjudiciales de un fármaco sobre un organismo o tejido debidos a una dosis excesiva, a la ingestión de un fármaco pensado para un uso externo y a la acumulación del medicamento en la sangre debido a una alteración del metabolismo o la excreción, se denomina:","Alergia a los fármacos","Tolerancia farmacológica","Reacción anafiláctica","Toxicidad farmacológica","","4","Toxicidad farmacológica","LEGISLACION","DERECHO"
"2019","92","El aumento de la permeabilidad glomerular, que se traduce en proteinuria masiva e hipoalbuminemia y que se acompaña de forma variable de edema, hiperlipemia y lipiduria, se designa como:","Glomerulonefritis","Insuficiencia renal aguda","Síndrome nefrótico","Hidronefrosis","","3","Síndrome nefrótico","LEGISLACION","DERECHO"
"2019","93","Indique cuál, de los siguientes grupos de fármacos, no está relacionado con el desencadenamiento o agravamiento de la incontinencia urinaria en un anciano:","Sedantes","Diuréticos","Bloqueantes del calcio","Antitérmicos","","4","Antitérmicos","LEGISLACION","DERECHO"
"2019","94","Es un anestésico general volátil:","Midazolam","Sevofluorano","Propofol","Ketamina","","2","Sevofluorano","LEGISLACION","DERECHO"
"2019","95","¿Qué respuesta es correcta con relación a una infección por virus de Hepatitis A?:","La principal vía de transmisión es la materno-fetal","El hombre y los animales de granja son sus reservorios","Tiene una probabilidad muy alta de derivar en cirrosis","Todas las respuestas son falsas","","4","Todas las respuestas son falsas","LEGISLACION","DERECHO"
